season,character,count,count_type,image
18,Lisa,373.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
18,Marge,502.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
18,Milhouse,68.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
18,Moe,146.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
18,Mr. Burns,46.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
19,Apu,13.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
19,Bart,419.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
19,Chief Wiggum,61.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
19,Flanders,45.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
19,Grampa,23.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
19,Homer,957.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
19,Krusty,92.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
19,Lenny,33.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
19,Lisa,381.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
19,Marge,462.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
19,Milhouse,69.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
19,Moe,55.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
19,Mr. Burns,57.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
20,Apu,12.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
20,Bart,374.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
20,Chief Wiggum,23.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
20,Flanders,117.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
20,Grampa,57.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
20,Homer,943.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
20,Krusty,16.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
20,Lenny,54.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
20,Lisa,450.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
20,Marge,443.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
20,Milhouse,49.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
20,Moe,132.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
20,Mr. Burns,88.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
21,Apu,55.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
21,Bart,557.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
21,Chief Wiggum,113.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
21,Flanders,122.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
21,Grampa,80.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
21,Homer,812.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
21,Krusty,78.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
21,Lenny,60.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
21,Lisa,390.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
21,Marge,426.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
21,Milhouse,60.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
21,Moe,174.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
21,Mr. Burns,115.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
22,Apu,9.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
22,Bart,492.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
22,Chief Wiggum,51.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
22,Flanders,68.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
22,Grampa,64.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
22,Homer,799.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
22,Krusty,43.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
22,Lenny,34.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
22,Lisa,480.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
22,Marge,420.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
22,Milhouse,85.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
22,Moe,121.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
22,Mr. Burns,100.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
23,Apu,28.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
23,Bart,531.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
23,Chief Wiggum,52.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
23,Flanders,110.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
23,Grampa,53.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
23,Homer,1031.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
23,Krusty,106.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
23,Lenny,63.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
23,Lisa,396.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
23,Marge,408.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
23,Milhouse,74.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
23,Moe,76.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
23,Mr. Burns,91.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
24,Apu,20.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
24,Bart,452.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
