season,number_in_season,episode_id,character,sentence_count,image
25,22,552,Groundskeeper Willie,3,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Chainsaw_Willie_Icon_-_Happy.png
25,22,552,Homer,27,https://img.icons8.com/doodle/48/homer-simpson.png
25,22,552,Jimbo,4,https://static.simpsonswiki.com/images/f/f3/Tapped_Out_Jimbo_Icon.png
25,22,552,Kirk,1,https://static.simpsonswiki.com/images/6/61/Tapped_Out_Acorn_Kirk_Icon.png
25,22,552,Krusty,1,https://img.icons8.com/doodle/48/krusty-the-clown.png
25,22,552,Lenny,1,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
25,22,552,Lisa,19,https://img.icons8.com/doodle/48/lisa-simpson.png
25,22,552,Lou,1,https://static.simpsonswiki.com/images/c/cf/Tapped_Out_Lou_Icon.png
25,22,552,Marge,5,https://img.icons8.com/doodle/48/marge-simpson.png
25,22,552,Martin Prince,3,https://static.simpsonswiki.com/images/d/da/Tapped_Out_Martin_Icon.png
25,22,552,Milhouse,23,https://img.icons8.com/doodle/48/milhouse-van-houten.png
25,22,552,Nelson,3,https://static.simpsonswiki.com/images/0/0c/Tapped_Out_Nelson_Icon_-_Brave.png
25,22,552,Professor Frink,1,https://static.simpsonswiki.com/images/0/09/Tapped_Out_Professor_Frink_Icon_-_Deadpan.png
25,22,552,Ralph,1,https://img.icons8.com/doodle/48/ralf.png
25,22,552,Sideshow Mel,3,https://static.simpsonswiki.com/images/6/6d/Tapped_Out_Sideshow_Mel_Icon.png
26,1,553,Bart,13,https://img.icons8.com/doodle/48/bart-simpson.png
26,1,553,Brockman,3,https://static.simpsonswiki.com/images/3/35/Tapped_Out_Brockman_Sidebar.png
26,1,553,Chief Wiggum,1,https://img.icons8.com/doodle/48/clancy-wiggum.png
26,1,553,Homer,14,https://img.icons8.com/doodle/48/homer-simpson.png
26,1,553,Krusty,74,https://img.icons8.com/doodle/48/krusty-the-clown.png
26,1,553,Lisa,12,https://img.icons8.com/doodle/48/lisa-simpson.png
26,1,553,Marge,14,https://img.icons8.com/doodle/48/marge-simpson.png
26,1,553,Milhouse,1,https://img.icons8.com/doodle/48/milhouse-van-houten.png
26,1,553,Otto,2,https://static.simpsonswiki.com/images/4/48/Tapped_Out_Conductor_Otto_Sidebar.png
26,1,553,Sideshow Bob,1,https://static.simpsonswiki.com/images/6/68/Tapped_Out_Sideshow_Bob_Icon_-_Serious.png
26,1,553,Sideshow Mel,5,https://static.simpsonswiki.com/images/6/6d/Tapped_Out_Sideshow_Mel_Icon.png
26,2,554,Apu,1,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
26,2,554,Bart,34,https://img.icons8.com/doodle/48/bart-simpson.png
26,2,554,Cletus,2,https://static.simpsonswiki.com/images/a/a0/Tapped_Out_Cletus_Icon_-_Smiling.png
26,2,554,Flanders,4,https://img.icons8.com/doodle/48/ned-flanders.png
26,2,554,Homer,45,https://img.icons8.com/doodle/48/homer-simpson.png
26,2,554,Jimbo,1,https://static.simpsonswiki.com/images/f/f3/Tapped_Out_Jimbo_Icon.png
26,2,554,Lisa,6,https://img.icons8.com/doodle/48/lisa-simpson.png
26,2,554,Marge,22,https://img.icons8.com/doodle/48/marge-simpson.png
26,2,554,Martin Prince,1,https://static.simpsonswiki.com/images/d/da/Tapped_Out_Martin_Icon.png
26,2,554,Milhouse,2,https://img.icons8.com/doodle/48/milhouse-van-houten.png
26,2,554,Moe,1,https://img.icons8.com/doodle/48/bartender-mo.png
26,2,554,Rev. Lovejoy,1,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Rev._Lovejoy_Sidebar.png
26,2,554,Selma,1,https://static.simpsonswiki.com/images/8/8f/Tapped_Out_Selma_Icon.png
26,3,555,Bart,13,https://img.icons8.com/doodle/48/bart-simpson.png
26,3,555,Carl,3,https://static.simpsonswiki.com/images/a/a4/Tapped_Out_Carl_Icon.png
26,3,555,Chief Wiggum,4,https://img.icons8.com/doodle/48/clancy-wiggum.png
26,3,555,Cletus,5,https://static.simpsonswiki.com/images/a/a0/Tapped_Out_Cletus_Icon_-_Smiling.png
26,3,555,Flanders,13,https://img.icons8.com/doodle/48/ned-flanders.png
26,3,555,Grampa,4,https://img.icons8.com/doodle/48/abraham-simpson.png
26,3,555,Homer,41,https://img.icons8.com/doodle/48/homer-simpson.png
26,3,555,Krusty,5,https://img.icons8.com/doodle/48/krusty-the-clown.png
26,3,555,Lenny,1,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
26,3,555,Lisa,11,https://img.icons8.com/doodle/48/lisa-simpson.png
26,3,555,Lou,1,https://static.simpsonswiki.com/images/c/cf/Tapped_Out_Lou_Icon.png
26,3,555,Marge,57,https://img.icons8.com/doodle/48/marge-simpson.png
26,3,555,Moe,3,https://img.icons8.com/doodle/48/bartender-mo.png
26,3,555,Mr. Burns,5,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
26,3,555,Professor Frink,1,https://static.simpsonswiki.com/images/0/09/Tapped_Out_Professor_Frink_Icon_-_Deadpan.png
26,3,555,Smithers,3,https://static.simpsonswiki.com/images/3/3a/Tapped_Out_Smithers_Icon.png
26,4,556,Bart,27,https://img.icons8.com/doodle/48/bart-simpson.png
26,4,556,Chalmers,1,https://static.simpsonswiki.com/images/5/58/Tapped_Out_Chalmers_Icon.png
26,4,556,Comic Book Guy,1,https://static.simpsonswiki.com/images/a/a9/Tapped_Out_Comic_Book_Guy_Icon.png
26,4,556,Grampa,1,https://img.icons8.com/doodle/48/abraham-simpson.png
26,4,556,Groundskeeper Willie,2,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Chainsaw_Willie_Icon_-_Happy.png
26,4,556,Homer,45,https://img.icons8.com/doodle/48/homer-simpson.png
26,4,556,Lisa,19,https://img.icons8.com/doodle/48/lisa-simpson.png
26,4,556,Marge,26,https://img.icons8.com/doodle/48/marge-simpson.png
26,4,556,Mr. Burns,4,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
26,4,556,Nelson,2,https://static.simpsonswiki.com/images/0/0c/Tapped_Out_Nelson_Icon_-_Brave.png
26,4,556,Ralph,1,https://img.icons8.com/doodle/48/ralf.png
26,4,556,Smithers,2,https://static.simpsonswiki.com/images/3/3a/Tapped_Out_Smithers_Icon.png
26,5,557,Bart,3,https://img.icons8.com/doodle/48/bart-simpson.png
